COUNTRY,UN_MEMBER,SUB_REGION,REGION
Algeria,1,Northern Africa,AFRICA
Angola,1,Middle Africa,AFRICA
Benin,1,Western Africa,AFRICA
Botswana,1,Southern Africa,AFRICA
Burkina Faso,1,Western Africa,AFRICA
Burundi,1,Eastern Africa,AFRICA
Cabo Verde,1,Western Africa,AFRICA
Cameroon,1,Middle Africa,AFRICA
Central African Republic,0,Middle Africa,AFRICA
Chad,1,Middle Africa,AFRICA
Comoros,1,Eastern Africa,AFRICA
Congo,1,Middle Africa,AFRICA
Cote d'Ivoire,1,Western Africa,AFRICA
Democratic Republic of the Congo,1,Middle Africa,AFRICA
Djibouti,1,Eastern Africa,AFRICA
Egypt,1,Northern Africa,AFRICA
Equatorial Guinea,1,Middle Africa,AFRICA
Eritrea,1,Eastern Africa,AFRICA
Ethiopia,1,Eastern Africa,AFRICA
Gabon,1,Middle Africa,AFRICA
Gambia,1,Western Africa,AFRICA
Ghana,1,Western Africa,AFRICA
Guinea,1,Western Africa,AFRICA
Guinea-Bissau,1,Western Africa,AFRICA
Kenya,1,Eastern Africa,AFRICA
Lesotho,1,Southern Africa,AFRICA
Liberia,1,Western Africa,AFRICA
Libya,1,Northern Africa,AFRICA
Madagascar,1,Eastern Africa,AFRICA
Malawi,1,Eastern Africa,AFRICA
Mali,1,Western Africa,AFRICA
Mauritania,1,Western Africa,AFRICA
Mauritius,1,Eastern Africa,AFRICA
Mayotte,1,Eastern Africa,AFRICA
Morocco,1,Northern Africa,AFRICA
Mozambique,1,Eastern Africa,AFRICA
Namibia,1,Southern Africa,AFRICA
Niger,1,Western Africa,AFRICA
Nigeria,1,Western Africa,AFRICA
R?union,0,Eastern Africa,AFRICA
Rwanda,1,Eastern Africa,AFRICA
Saint Helena,0,Southern Africa,AFRICA
Sao Tome and Principe,1,Middle Africa,AFRICA
Senegal,1,Western Africa,AFRICA
Seychelles,1,Eastern Africa,AFRICA
Sierra Leone,1,Western Africa,AFRICA
Somalia,1,Eastern Africa,AFRICA
South Africa,1,Southern Africa,AFRICA
South Sudan,1,Eastern Africa,AFRICA
Sudan,1,Northern Africa,AFRICA
Swaziland,1,Southern Africa,AFRICA
Togo,1,Southern Africa,AFRICA
Tunisia,1,Northern Africa,AFRICA
Uganda,1,Eastern Africa,AFRICA
United Republic of Tanzania,1,Eastern Africa,AFRICA
Western Sahara,0,Northern Africa,AFRICA
Zambia,1,Eastern Africa,AFRICA
Zimbabwe,1,Eastern Africa,AFRICA
