합계 : Number of reported cases of cholera,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,총합계
Afghanistan,,,,,,,,,,,,887,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,37046,38735,19903,,4170,10000,24639,4330,4499,3,41,,33,,,4384,662,2369,3733,12,3957,45481,58064,677,263843
Algeria,,,,,,,,,,,,,,,,,,,,,,,1332,646,605,738,1165,286,262,220,2513,614,,,218,45,,,1507,699,393,1299,,69,,118,,,,,,,,,,,0,0,,,,,,,,,,,12729
Angola,,,,,,,,,,,,,,,,,,,,,,,1,268,263,934,88,,726,,,,,,,,,,16222,15500,17601,9527,8590,3608,,3443,3295,1306,,,,,,,,,0,67257,18422,10511,2019,1484,1810,1215,6655,213,,78,191036
Bangladesh,,29809,20894,21154,27631,15617,16642,23699,8054,15631,16915,15618,2663,2524,3975,3333,1123,3154,664,3156,7411,7419,2342,1059,1969,5614,4888,957,10403,5576,2154,,,,,,,,523,571,94,82,8,479,78,562,2297,418,1959,1067,3440,1021,,,,,,,,,,,,,,,,,294647
Benin,,,,,,,,,,,,,,,,,,,,,,175,2133,250,3,73,45,146,2,27,,3,2,3,1,1,,243,,,,,7474,413,10,187,203,6190,796,206,855,468,3943,270,434,642,749,91,,985,74,983,755,625,528,832,,761,31581
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,1,1761,1,1118,632,3,,,1,,,,,,2191,1149,,,,,,537,,,,1451,425,,1036,93,617,477,,1,,1050,0,,0,,,20,143,,,,,12707
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8297,915,2039,582,415,512,180,259,,,,,82,3,479,78,562,2297,418,1959,1067,3440,1021,1003,577,432,819,1309,886,365,234,355,333,1072,214,1557,582,442,434,35219
Cameroon,,,,,,,,,,,,,,,,,,,,,,,2167,362,206,83,3,135,,3,16,229,243,5,55,392,1158,165,94,4,4,16,4026,1268,648,527,615,5796,1709,4603,1584,123,259,66,207,8005,2847,922,10,0,804,10759,22433,363,29,3355,124,,76422
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,22,,,,,,320,0,0,,,,,117,21,,,,,923
Chad,,,,,,,,,,,,,,,,,,,,,,,8230,9,,338,,,,,,,,,,,,,,,,,13915,,,1094,,7830,8801,4095,217,,5244,,55,5531,90,1668,0,,67,6395,17267,,,,,,80846
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,5,,,,,,,,,,,,,,,,,,275,3222,4813,9,,,,,0,175,7785,156,93,,762,1181,1624,,,15,20166
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,868,668,,,,,,,,3,,,34,,,,,,,,,604,37,724,1108,4993,1345,,,,,5912,4188,1034,105,39,414,8,7,5,32,1261,424,56,235,199,,24303
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481,5515,1051,2379,10328,2977,162,740,1059,1150,295,99,468,4066,1949,986,58057,553,7886,2421,34899,12711,14995,5728,31658,27272,7665,13430,20642,28269,30150,22899,13884,21700,33661,26944,22203,19182,28093,521607
Ethiopia,,,,,,,,,,,,,,,,,,,,,,850,2187,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,16,0,54070,24121,3862,31509,1682,,,,,,,118297
Ghana,,,,,,,,,,,,,,,,,,,,,,2733,13048,625,677,483,187,102,6565,1853,1783,260,943,11051,14160,1015,60,,,,,2937,13172,228,1448,2267,4698,1665,379,3426,9432,3331,5487,3614,204,407,3166,3357,179,1223,1294,438,10628,9548,50,28944,692,175,167934
Guinea,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,286,,,,,,,,31415,6506,287,,881,599,519,392,61,6,1516,3821,3242,8546,513,42,,3,7350,319,1,,,68305
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,6000,,,,,,,15296,119,8397,20555,126,,,,842,290,155,25111,37,153,14323,5,,,3068,969,11,,,95657
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179379,340311,112076,58809,27753,36045,41421,795794
India,,625,86787,101493,213225,22146,23533,39829,54961,66849,14852,14621,47637,51082,44839,53011,42677,13052,13708,22587,19280,15067,71386,20435,41611,30903,22049,14946,8376,10585,5073,8344,4681,4656,8542,2527,5808,4208,11934,17162,5640,3583,6993,6911,12084,4973,3315,4396,2768,7151,3839,4053,4081,3455,2893,4695,3155,1939,2635,2680,,5155,,,6008,4031,889,841,1363250
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,5037,162,221,,557,19663,344,322,55,304,2966,2100,10836,264,1856,1599,6034,427,270,531,1208,20,295,486,5222,178,1892,97,1347,15,2177,,1106,270,1369,345,105,118,96,94,1133,,19,72,,,1187,53,256,,86,,72794
Iraq,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,133,96,,,,,,,,,,,,,877,97,280,838,820,1,,53,1985,532,560,718,187,35,,,4697,925,6,2,,4693,1,,4965,0,22728
Kenya,,,,,,,,,,,,,,,,,,,,,,,239,51,,402,1093,1359,21,673,1070,2808,2424,3498,1049,14,1352,839,255,,918,,,3388,,880,1547,482,17200,22432,11039,1157,1001,291,,870,816,870,1206,3091,11425,3188,74,,,35,13291,5866,118214
Liberia,,,,,,,,,,,,,,,,,,,,,,168,606,947,1336,512,704,646,512,422,438,2690,1582,670,183,492,355,59,33,68,28,,132,,,764,3420,8922,91,2123,215,365,1062,1115,34740,2786,3823,4929,3063,1236,1070,1546,1146,219,92,44,,,85354
Madagascar,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9973,29305,7219,27,5,,0,0,,,,,,,,,,,46531
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,371,,,19,577,263,,,261,,487,,,,,6,8351,13457,8088,298,25193,107,1,1,130,1745,26508,2391,2395,32618,2736,675,1105,4148,475,831,5751,1155,120,187,,,693,1792,142935
Mali,,,,,,,,,,,,,,,,,,,,,,2665,4792,2,219,130,,,,,,,,,,1795,3759,1916,352,,,,,,,,2191,5723,6,,6,1885,67,18,1455,2839,1178,7,,153,,,2220,219,23,,,,33620
Mauritania,,,,,,,,,,,,,,,,,,,,,,,1139,148,150,,,,,,,,,,,166,259,3734,1578,575,700,,,,,,,4534,462,,,,,80,34,,4132,25,3,,,,46,,,,,,17765
